Date : 2026-04-13 17:08:29
Directory : /home/alice/kua-test
Total : 77 files,  281485 codes, 121 comments, 424 blanks, all 282030 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Log          |         55 |    279,631 |          0 |         55 |    279,686 |
| Shell Script |         11 |        670 |         35 |        188 |        893 |
| Python       |          2 |        593 |         79 |         90 |        762 |
| C++          |          8 |        570 |          7 |         85 |        662 |
| Markdown     |          1 |         21 |          0 |          6 |         27 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                               |         77 |    281,485 |        121 |        424 |    282,030 |
| . (Files)                                                       |         12 |        691 |         35 |        194 |        920 |
| .waf-tools                                                      |          2 |        593 |         79 |         90 |        762 |
| KV阶段1                                                           |          4 |      2,742 |          0 |          4 |      2,746 |
| four                                                            |          5 |        580 |          0 |          5 |        585 |
| log1                                                            |          9 |      3,270 |          0 |          9 |      3,279 |
| log2                                                            |          5 |    208,919 |          0 |          5 |    208,924 |
| log3                                                            |          9 |      6,742 |          0 |          9 |      6,751 |
| src                                                             |          8 |        570 |          7 |         85 |        662 |
| 删除节点                                                            |          7 |     30,275 |          0 |          7 |     30,282 |
| 删除节点_bucket0                                                    |          7 |      7,240 |          0 |          7 |      7,247 |
| 添加节点                                                            |          6 |     19,414 |          0 |          6 |     19,420 |
| 迁移测试                                                            |          3 |        449 |          0 |          3 |        452 |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                        | language     | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/alice/kua-test/.waf-tools/boost.py                        | Python       |        416 |         60 |         58 |        534 |
| /home/alice/kua-test/.waf-tools/default-compiler-flags.py       | Python       |        177 |         19 |         32 |        228 |
| /home/alice/kua-test/KV阶段1/four.log                             | Log          |        684 |          0 |          1 |        685 |
| /home/alice/kua-test/KV阶段1/one.log                              | Log          |        688 |          0 |          1 |        689 |
| /home/alice/kua-test/KV阶段1/three.log                            | Log          |        678 |          0 |          1 |        679 |
| /home/alice/kua-test/KV阶段1/two.log                              | Log          |        692 |          0 |          1 |        693 |
| /home/alice/kua-test/README.md                                  | Markdown     |         21 |          0 |          6 |         27 |
| /home/alice/kua-test/add_node.sh                                | Shell Script |        116 |          1 |         27 |        144 |
| /home/alice/kua-test/four.sh                                    | Shell Script |         16 |          1 |          7 |         24 |
| /home/alice/kua-test/four/four.log                              | Log          |        136 |          0 |          1 |        137 |
| /home/alice/kua-test/four/master.log                            | Log          |         40 |          0 |          1 |         41 |
| /home/alice/kua-test/four/one.log                               | Log          |        134 |          0 |          1 |        135 |
| /home/alice/kua-test/four/three.log                             | Log          |        134 |          0 |          1 |        135 |
| /home/alice/kua-test/four/two.log                               | Log          |        136 |          0 |          1 |        137 |
| /home/alice/kua-test/gen_rand_files.sh                          | Shell Script |         12 |          5 |          3 |         20 |
| /home/alice/kua-test/kv_phase1.sh                               | Shell Script |         72 |          1 |         18 |         91 |
| /home/alice/kua-test/log1/eight.log                             | Log          |        400 |          0 |          1 |        401 |
| /home/alice/kua-test/log1/five.log                              | Log          |        400 |          0 |          1 |        401 |
| /home/alice/kua-test/log1/four.log                              | Log          |        393 |          0 |          1 |        394 |
| /home/alice/kua-test/log1/master.log                            | Log          |        100 |          0 |          1 |        101 |
| /home/alice/kua-test/log1/one.log                               | Log          |        397 |          0 |          1 |        398 |
| /home/alice/kua-test/log1/seven.log                             | Log          |        395 |          0 |          1 |        396 |
