"filename", "language", "Shell Script", "Log", "C++", "Markdown", "Python", "comment", "blank", "total"
"/home/alice/kua-test/.waf-tools/boost.py", "Python", 0, 0, 0, 0, 416, 60, 58, 534
"/home/alice/kua-test/.waf-tools/default-compiler-flags.py", "Python", 0, 0, 0, 0, 177, 19, 32, 228
"/home/alice/kua-test/KV阶段1/four.log", "Log", 0, 684, 0, 0, 0, 0, 1, 685
"/home/alice/kua-test/KV阶段1/one.log", "Log", 0, 688, 0, 0, 0, 0, 1, 689
"/home/alice/kua-test/KV阶段1/three.log", "Log", 0, 678, 0, 0, 0, 0, 1, 679
"/home/alice/kua-test/KV阶段1/two.log", "Log", 0, 692, 0, 0, 0, 0, 1, 693
"/home/alice/kua-test/README.md", "Markdown", 0, 0, 0, 21, 0, 0, 6, 27
"/home/alice/kua-test/add_node.sh", "Shell Script", 116, 0, 0, 0, 0, 1, 27, 144
"/home/alice/kua-test/four.sh", "Shell Script", 16, 0, 0, 0, 0, 1, 7, 24
"/home/alice/kua-test/four/four.log", "Log", 0, 136, 0, 0, 0, 0, 1, 137
"/home/alice/kua-test/four/master.log", "Log", 0, 40, 0, 0, 0, 0, 1, 41
"/home/alice/kua-test/four/one.log", "Log", 0, 134, 0, 0, 0, 0, 1, 135
"/home/alice/kua-test/four/three.log", "Log", 0, 134, 0, 0, 0, 0, 1, 135
"/home/alice/kua-test/four/two.log", "Log", 0, 136, 0, 0, 0, 0, 1, 137
"/home/alice/kua-test/gen_rand_files.sh", "Shell Script", 12, 0, 0, 0, 0, 5, 3, 20
"/home/alice/kua-test/kv_phase1.sh", "Shell Script", 72, 0, 0, 0, 0, 1, 18, 91
"/home/alice/kua-test/log1/eight.log", "Log", 0, 400, 0, 0, 0, 0, 1, 401
"/home/alice/kua-test/log1/five.log", "Log", 0, 400, 0, 0, 0, 0, 1, 401
"/home/alice/kua-test/log1/four.log", "Log", 0, 393, 0, 0, 0, 0, 1, 394
"/home/alice/kua-test/log1/master.log", "Log", 0, 100, 0, 0, 0, 0, 1, 101
"/home/alice/kua-test/log1/one.log", "Log", 0, 397, 0, 0, 0, 0, 1, 398
"/home/alice/kua-test/log1/seven.log", "Log", 0, 395, 0, 0, 0, 0, 1, 396
"/home/alice/kua-test/log1/six.log", "Log", 0, 395, 0, 0, 0, 0, 1, 396
"/home/alice/kua-test/log1/three.log", "Log", 0, 404, 0, 0, 0, 0, 1, 405
"/home/alice/kua-test/log1/two.log", "Log", 0, 386, 0, 0, 0, 0, 1, 387
"/home/alice/kua-test/log2/client-put.log", "Log", 0, 2, 0, 0, 0, 0, 1, 3
"/home/alice/kua-test/log2/four.log", "Log", 0, 52216, 0, 0, 0, 0, 1, 52217
"/home/alice/kua-test/log2/one.log", "Log", 0, 45699, 0, 0, 0, 0, 1, 45700
"/home/alice/kua-test/log2/three.log", "Log", 0, 55500, 0, 0, 0, 0, 1, 55501
"/home/alice/kua-test/log2/two.log", "Log", 0, 55502, 0, 0, 0, 0, 1, 55503
"/home/alice/kua-test/log3/client-put.log", "Log", 0, 48, 0, 0, 0, 0, 1, 49
"/home/alice/kua-test/log3/eight.log", "Log", 0, 604, 0, 0, 0, 0, 1, 605
"/home/alice/kua-test/log3/five.log", "Log", 0, 1203, 0, 0, 0, 0, 1, 1204
"/home/alice/kua-test/log3/four.log", "Log", 0, 274, 0, 0, 0, 0, 1, 275
"/home/alice/kua-test/log3/one.log", "Log", 0, 1783, 0, 0, 0, 0, 1, 1784
"/home/alice/kua-test/log3/seven.log", "Log", 0, 598, 0, 0, 0, 0, 1, 599
"/home/alice/kua-test/log3/six.log", "Log", 0, 280, 0, 0, 0, 0, 1, 281
"/home/alice/kua-test/log3/three.log", "Log", 0, 950, 0, 0, 0, 0, 1, 951
"/home/alice/kua-test/log3/two.log", "Log", 0, 1002, 0, 0, 0, 0, 1, 1003
"/home/alice/kua-test/migration_test.sh", "Shell Script", 64, 0, 0, 0, 0, 2, 20, 86
"/home/alice/kua-test/remove_node.sh", "Shell Script", 96, 0, 0, 0, 0, 2, 24, 122
"/home/alice/kua-test/remove_node_bucket0.sh", "Shell Script", 134, 0, 0, 0, 0, 6, 34, 174
"/home/alice/kua-test/src/auction.cpp", "C++", 0, 0, 77, 0, 0, 6, 24, 107
"/home/alice/kua-test/src/auction.hpp", "C++", 0, 0, 32, 0, 0, 3, 15, 50
"/home/alice/kua-test/src/bidder.cpp", "C++", 0, 0, 204, 0, 0, 5, 41, 250
"/home/alice/kua-test/src/bidder.hpp", "C++", 0, 0, 32, 0, 0, 3, 8, 43
"/home/alice/kua-test/src/bucket.hpp", "C++", 0, 0, 30, 0, 0, 0, 12, 42
"/home/alice/kua-test/src/client.cpp", "C++", 0, 0, 389, 0, 0, 18, 76, 483
"/home/alice/kua-test/src/command-codes.hpp", "C++", 0, 0, 14, 0, 0, 0, 3, 17
"/home/alice/kua-test/src/config-bundle.hpp", "C++", 0, 0, 18, 0, 0, 1, 6, 25
"/home/alice/kua-test/src/kua.cpp", "C++", 0, 0, 28, 0, 0, 7, 10, 45
"/home/alice/kua-test/src/master.cpp", "C++", 0, 0, 154, 0, 0, 11, 40, 205
"/home/alice/kua-test/src/master.hpp", "C++", 0, 0, 60, 0, 0, 19, 21, 100
"/home/alice/kua-test/src/nlsr.cpp", "C++", 0, 0, 72, 0, 0, 0, 20, 92
"/home/alice/kua-test/src/nlsr.hpp", "C++", 0, 0, 34, 0, 0, 0, 11, 45
"/home/alice/kua-test/src/node-watcher.cpp", "C++", 0, 0, 56, 0, 0, 4, 16, 76
"/home/alice/kua-test/src/node-watcher.hpp", "C++", 0, 0, 27, 0, 0, 4, 15, 46
"/home/alice/kua-test/src/store-memory.hpp", "C++", 0, 0, 71, 0, 0, 0, 11, 82
"/home/alice/kua-test/src/store.hpp", "C++", 0, 0, 31, 0, 0, 0, 12, 43
"/home/alice/kua-test/src/tlv.hpp", "C++", 0, 0, 14, 0, 0, 0, 3, 17
"/home/alice/kua-test/src/worker.cpp", "C++", 0, 0, 577, 0, 0, 15, 104, 696
"/home/alice/kua-test/src/worker.hpp", "C++", 0, 0, 61, 0, 0, 0, 28, 89
"/home/alice/kua-test/test.sh", "Shell Script", 20, 0, 0, 0, 0, 1, 6, 27
"/home/alice/kua-test/test1.sh", "Shell Script", 31, 0, 0, 0, 0, 12, 11, 54
"/home/alice/kua-test/test2.sh", "Shell Script", 52, 0, 0, 0, 0, 3, 18, 73
"/home/alice/kua-test/test3.sh", "Shell Script", 57, 0, 0, 0, 0, 1, 20, 78
"/home/alice/kua-test/删除节点/client-put.log", "Log", 0, 16, 0, 0, 0, 0, 1, 17
"/home/alice/kua-test/删除节点/five.log", "Log", 0, 26, 0, 0, 0, 0, 1, 27
"/home/alice/kua-test/删除节点/four.log", "Log", 0, 7566, 0, 0, 0, 0, 1, 7567
"/home/alice/kua-test/删除节点/migration-summary.log", "Log", 0, 18, 0, 0, 0, 0, 1, 19
"/home/alice/kua-test/删除节点/one.log", "Log", 0, 7599, 0, 0, 0, 0, 1, 7600
"/home/alice/kua-test/删除节点/three.log", "Log", 0, 7530, 0, 0, 0, 0, 1, 7531
"/home/alice/kua-test/删除节点/two.log", "Log", 0, 7520, 0, 0, 0, 0, 1, 7521
"/home/alice/kua-test/删除节点_bucket0/bucket0-migration-summary.log", "Log", 0, 17, 0, 0, 0, 0, 1, 18
"/home/alice/kua-test/删除节点_bucket0/client-put.log", "Log", 0, 12, 0, 0, 0, 0, 1, 13
"/home/alice/kua-test/删除节点_bucket0/five.log", "Log", 0, 1786, 0, 0, 0, 0, 1, 1787
"/home/alice/kua-test/删除节点_bucket0/four.log", "Log", 0, 1782, 0, 0, 0, 0, 1, 1783
"/home/alice/kua-test/删除节点_bucket0/one.log", "Log", 0, 1798, 0, 0, 0, 0, 1, 1799
"/home/alice/kua-test/删除节点_bucket0/three.log", "Log", 0, 1788, 0, 0, 0, 0, 1, 1789
"/home/alice/kua-test/删除节点_bucket0/two.log", "Log", 0, 57, 0, 0, 0, 0, 1, 58
"/home/alice/kua-test/添加节点/client-put.log", "Log", 0, 20, 0, 0, 0, 0, 1, 21
"/home/alice/kua-test/添加节点/five.log", "Log", 0, 3848, 0, 0, 0, 0, 1, 3849
"/home/alice/kua-test/添加节点/four.log", "Log", 0, 3886, 0, 0, 0, 0, 1, 3887
"/home/alice/kua-test/添加节点/one.log", "Log", 0, 3927, 0, 0, 0, 0, 1, 3928
"/home/alice/kua-test/添加节点/three.log", "Log", 0, 3853, 0, 0, 0, 0, 1, 3854
